director_id,name,profile_path,gender
4014,Paul W.S. Anderson,/AeYYSi30WCkowdk04Awa0kr1E4S.jpg,2
5216,Gus Van Sant,/2WsDgxPivXtPHtsXK5QZ8U7zYEb.jpg,2
3047,Jocelyn Moorhouse,/3TrT5NkGglobl3EPH5OdHlXLGzU.jpg,1
7467,David Fincher,/dcBHejOsKvzVZVozWJAPzYthb8X.jpg,2
65530,Mike Gabriel,,2
9032,Bryan Singer,/to8mWJabPoWkphkbYKoutCVSj06.jpg,2
1243,Woody Allen,/wpcOUlaszvJoVRf1yLbDtu7u4FI.jpg,2
71338,Holly Goldberg Sloan,,1
1038,Jodie Foster,/eAIE6bnOQ8rm0f933gyeAQdIwrP.jpg,1
28898,Michael Radford,/bhKe3gIvinv8rBgyxdLsQbuZ6Gv.jpg,2
7908,Frank Oz,/aLH5bYwMIlVxCe4rIDaEsVJqDKn.jpg,2
19304,John Schlesinger,/vFCJ4RxvHysxeiwcFsiSGg7Tgre.jpg,2
18356,Stephen Herek,/wFMntUA59jIeLITlk5pYp2boZzB.jpg,2
45649,Paris Barclay,/ut83u6IJvZTE16QB2K7XJwUpvi7.jpg,2
57870,Jason Bloom,/fvQhQqGnf4cBq60FiLjeKWvvAqD.jpg,2
37932,F. Gary Gray,/hjMfkAyz5ECn0svAzrkG3YsEaEW.jpg,2
2294,Robert Rodriguez,/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg,2
70850,Andrew Sipes,,2
10296,Michael Goldenberg,/qU4WTFJN8z7w3VYYDbl9EH3ifNn.jpg,2
25735,Christian Duguay,/dz0da6lHPAzAFTZMR0LvsGUr8cd.jpg,2
2228,Sean Penn,/f2uy1zq0qmtLBpsr6N9uQ8FktOr.jpg,2
18069,Brian Gibson,/jjc2ARxLzv3El2tHeEUKC89vPtW.jpg,2
5501,Gary Fleder,/fKPxO8iWMuWYQ8sXeH1BPfQzqxm.jpg,2
578,Ridley Scott,/oTAL0z0vsjipCruxXUsDUIieuhk.jpg,2
29009,Ken Kwapis,/oPjor2KnZcSXmtude62KT62yBsu.jpg,0
58448,Penelope Spheeris,/6MiXfO2EdA0keiJf0RmGNfLTvAc.jpg,0
12840,John Badham,/vWzb3cQz4qYtfXQ6qyCrSTw61xA.jpg,2
3224,Stephen Frears,/8IewTBLTPujw1t1MwpXba8cCXOU.jpg,0
