movie_id,director_id
812,15810
280,2710
581,1269
268,510
408,5446
10020,62047
10895,11429
114,1201
576,7767
7300,52405
10824,15557
275,1223
25059,4755
11827,70616
8766,176246
23570,32278
10112,57314
12520,72619
1592,17812
19042,71852
38884,15488
9099,21217
10988,34682
11479,69537
10684,9181
954,1150
8840,18878
10539,57646
10543,15890
11902,15254
2300,23677
8069,53767
8072,3776
20762,43786
753,11147
9103,15111
10990,7256
8866,7145
12233,71792
36355,129941
922,4429
11687,64909
9304,1524
9100,41549
9802,865
21588,87680
664,2209
11867,70792
9323,12180
10280,64796
10535,65548
532,7314
10547,28239
935,240
40751,12453
11101,14614
9826,18254
9879,41550
7095,1776
627,2034
602,6046
14553,4956
9566,893
10545,62047
9894,7399
11543,7395
9268,26713
9327,4499
11228,18878
10779,108
26748,102445
9294,12962
11363,12833
1645,5572
11511,12988
12606,15042
18975,18308
11962,71110
2925,28904
3595,6159
12123,12989
10830,518
3573,32983
10546,65602
18862,92554
31417,37302
10061,11770
549,7482
10478,4037
238,1776
159,1869
11134,44916
9303,9340
11015,37710
9306,13776
10723,15521
19004,24346
10987,55116
27854,10790
981,14674
872,13284
2769,13980
13320,13284
164,1927
426,2636
567,2636
3078,2662
13528,14674
213,2636
284,3146
239,3146
4808,13284
289,4109
963,6593
11113,14674
6620,3146
804,10001
909,13980
630,9049
770,9049
599,3146
15,40
62,240
705,10601
223,2636
25670,2636
303,2636
4174,2636
8356,30008
381,2636
1859,2428
18299,3146
17281,13980
10907,4109
32093,29595
1939,834
3080,30165
198,2428
13562,74659
1712,18738
220,2746
3529,32427
3085,11435
2897,20412
1585,2662
3083,2662
900,11435
260,2636
10331,14999
488,6593
261,3632
32574,2662
11076,68212
10861,26767
1770,17016
9333,1723
9400,37932
9401,27846
11306,10781
9625,35155
10680,27146
14821,19032
14136,5834
10869,5834
22660,5834
19186,29715
6878,6592
18444,35318
173,2087
864,12962
24795,56506
11224,64864
15947,11427
9078,57314
8367,8300
433,5834
11360,5691
11114,25558
12335,5834
12092,11429
10948,67604
11229,55117
15121,1744
562,1090
10163,57090
11159,65452
9591,31
10938,67570
11412,16938
10586,2042
9716,1243
454,6201
10218,11694
819,8246
11238,56852
252,3451
16372,25630
11561,1243
623,8929
583,10707
12614,1927
21711,12964
11575,1927
475,6448
521,2636
88,716
500,138
792,1152
8491,16544
402,10491
10537,1152
11386,17016
9504,15890
15764,6349
601,488
2119,893
744,893
221,2765
702,2746
25750,56746
9305,57226
1630,3974
11816,21958
11843,1927
10379,16672
2756,2710
790,11770
1103,11770
11298,4600
4480,20718
4481,20718
10765,34611
762,280
531,7314
659,10249
8074,3776
11216,65314
7452,30309
892,2419
1600,1126
975,240
18129,3224
409,2239
38251,55916
10161,53334
1412,1884
14285,18533
2469,309
510,3974
11455,69500
1891,10930
2493,3026
85,488
68,280
679,2710
429,4385
13446,8966
389,39996
947,12238
185,240
595,8482
28,1776
335,4385
1892,19800
144,2303
1092,15378
769,1032
348,578
766,7623
175,59
11645,5026
10835,11401
539,2636
525,4610
240,1776
600,240
530,7314
10705,11181
279,3974
3109,8500
311,4385
1578,1032
703,1243
9549,648
1398,8452
387,5231
9277,9577
343,4964
490,6648
11235,68687
218,2710
763,108
9665,9181
18971,372
696,1243
379,1223
207,2690
37247,5342
1480,40
9322,59
826,12238
422,4415
829,3556
828,1744
3090,6593
9964,108
3063,30008
13667,87565
694,240
235,3026
832,68
765,7623
5925,14520
11778,12114
137,1524
33,190
982,13776
212,2662
105,24
1633,18250
11202,13265
1554,4429
149,185
8009,52968
903,13859
11673,25950
3034,14639
339,4429
10404,607
914,13848
756,5691
288,4065
910,11435
2640,7145
16633,16187
665,10001
11031,3026
11314,68993
15143,26502
89,488
10322,4964
783,4786
10644,648
11257,54441
14370,63713
12104,9168
625,8965
830,12300
2323,23968
983,6593
642,9577
655,2303
639,3026
8077,7467
814,4610
27214,2087
16235,35256
11449,13859
24913,62556
49126,1744
571,2636
8851,56141
6114,1776
229,2917
9529,57851
1598,1032
11349,18669
7340,1150
6217,1035
377,5140
653,9076
794,7187
31640,19450
25189,10400
145,42
2212,22676
199,2388
7863,33433
12498,879
9279,13581
12709,37626
20539,55476
11674,18356
1573,16938
152,1744
174,1788
172,1748
154,1788
157,1749
168,1749
364,510
11967,56828
9086,32277
621,8876
9037,56755
10173,56998
8845,12989
578,488
579,16187
17692,8558
75,510
9390,11649
378,1223
10896,8246
2322,23968
9819,59635
31908,3026
3179,17403
4232,5140
9361,638
2928,9248
10549,11181
8818,9168
36040,14132
9415,56998
12145,64061
34314,101767
9404,44916
9622,17494
8860,52038
9619,21370
4104,34682
784,11688
12489,6198
16448,13524
17894,29009
28059,564
1968,17167
66,190
11419,69353
638,5602
9366,10723
9446,58072
28005,6495
9403,31024
10003,13015
884,224
1624,4499
16052,16395
4477,6349
6499,50099
9405,26760
12723,19969
9360,26648
9434,58294
13982,2691
9611,58178
10357,8843
816,6737
2163,7213
12499,8858
18,59
2058,2171
1701,12786
1639,2209
415,5572
11970,15810
8874,3045
266,3776
754,11401
607,5174
686,24
4421,578
9387,8328
10603,54967
2142,366
8413,4014
10336,87130
20737,1270
18519,64099
8834,7187
4961,10828
9416,11091
9772,5231
6072,8300
1669,1090
468,5216
10806,7908
9433,7256
6623,51984
2118,323
978,2352
9437,5501
10351,11419
2649,7467
14289,77211
10155,1152
68924,1614
2255,19303
9427,57630
3597,33254
1813,18596
36797,76418
782,8685
9827,55116
8067,2034
10890,8858
1281,141450
9770,27436
11975,1776
4995,4762
9281,2690
563,10491
10215,7791
9823,26714
37165,2690
4824,30365
9444,12881
9414,15148
8078,2419
2895,3087
22797,17016
2639,1243
9574,56911
10371,42111
489,5216
9714,1215
8197,190
6283,1704
4233,5140
10217,56205
597,2710
714,1724
9922,1269
547,4135
184,138
9746,1032
9438,44916
115,1223
9410,11218
12538,58448
586,8246
2666,21085
11258,30149
9490,57691
9411,17812
9033,56746
11220,12453
9457,7775
11702,20907
12238,72182
11568,4610
11003,57370
10153,8246
2898,3388
9558,39104
26269,6729
11808,2523
17941,974699
10668,41472
9313,2460
617,9200
5910,3317
9440,5342
17127,55476
2157,2042
8838,23213
795,11887
16980,78188
47881,7145
9469,5281
12488,9789
267,309
9449,18357
10622,62410
30020,119294
10216,21377
9448,58036
4415,19684
8656,51984
18937,50582
929,6046
1878,280
9844,57579
14342,13524
9715,2178
1965,12989
6068,8858
15037,13615
37636,75699
21334,110695
10674,66190
846,12523
3050,31024
1389,1884
11020,2690
9464,22461
95,865
944,7187
