collection_id,name,poster_path,backdrop_path
115776,Robert Langdon Collection,/mZDeXsVhBxnWD3tGOQ69vKS3WYL.jpg,/j1IqpLhCypllamjKe6C2RstjfEQ.jpg
14740,Madagascar Collection,/kjA2VkYx929rPKMPFQRb0lPqY3w.jpg,/lzTIAbvMeGWB7PUrmBZXulGA28M.jpg
2980,Ghostbusters Collection,/zsSnQq4lGocDkqsrdVUTNNjZz7R.jpg,/g54JU2Bn4EFezsawnI7ccpAzPC7.jpg
10194,Toy Story Collection,/7G9915LfUQ2lVfwMEEhDsn3kT4B.jpg,/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg
94032,The Lion King Collection,/oG1heUs503GV6xBnFhgyYTGWm05.jpg,/A9IEaj9cPAwEgFnTmteB70oxgJY.jpg
219691,I Spit on Your Grave Collection,/twoKFP4fjfOReWw8U13P39cj8xG.jpg,/y0UVHxtgIT1TtArCibBtk7wKnfT.jpg
63043,TRON Collection,/cvFlDIfOwhYe4ouAAfdyq9E5zlZ.jpg,/o8NBfffQPE9tHTR9l7FuWbdVPHu.jpg
87236,Mulan Collection,/1fjZKATXsAKvtO6uJqCiNL5u4mK.jpg,/zruSw8cPMrB753gisLZcbHISS8x.jpg
31562,The Bourne Collection,/lTfOZ25PhQkmGb5NHmaFnwB7b13.jpg,/vA5xMglyZv7yzDTj1qUTU4OvelV.jpg
280588,Horrible Bosses Collection,/zU3dVVBa3JW1nQVUsaFM0BeTnK.jpg,/kGvdIEuzy0rHnbIJ0qmnIjRGSKW.jpg
397842,The Amityville Horror Collection,/8uCu7d43IHPwFfNS2qCyVuRP1cP.jpg,/kPfuozrsE7pmFFolkR0xFicZDJT.jpg
115575,Star Trek: Alternate Reality Collection,/w2IVqa43Ge49mrY3qSaJWpyDtz6.jpg,/gWl5pN2FplE709aVtA4lakwsE6t.jpg
2326,Underworld Collection,/aK8qq0X0pZbf5ncE3JLQ27hdC4F.jpg,/2gSaXagD9ZCuBHOsXF4tvtW7Djd.jpg
